Município,Total_Crimes,Categoria
BELO HORIZONTE,102920,Mais_Crimes
CONTAGEM,33942,Mais_Crimes
UBERLANDIA,17042,Mais_Crimes
BETIM,15448,Mais_Crimes
RIBEIRAO DAS NEVES,9305,Mais_Crimes
UBERABA,8387,Mais_Crimes
JUIZ DE FORA,6891,Mais_Crimes
MONTES CLAROS,6393,Mais_Crimes
SETE LAGOAS,5143,Mais_Crimes
DIVINOPOLIS,4835,Mais_Crimes
GOVERNADOR VALADARES,4735,Mais_Crimes
SANTA LUZIA,4497,Mais_Crimes
NOVA SERRANA,3994,Mais_Crimes
IPATINGA,3174,Mais_Crimes
VESPASIANO,2865,Mais_Crimes
IBIRITE,2681,Mais_Crimes
SABARA,2561,Mais_Crimes
UBA,2433,Mais_Crimes
PARACATU,2258,Mais_Crimes
PASSOS,1933,Mais_Crimes
POUSO ALEGRE,1716,Mais_Crimes
PATOS DE MINAS,1689,Mais_Crimes
ITABIRA,1686,Mais_Crimes
ESMERALDAS,1584,Mais_Crimes
CURVELO,1519,Mais_Crimes
VICOSA,1495,Mais_Crimes
POCOS DE CALDAS,1476,Mais_Crimes
ITAUNA,1440,Mais_Crimes
NOVA LIMA,1407,Mais_Crimes
ARAGUARI,1406,Mais_Crimes
CARANAIBA,1,Menos_Crimes
CONCEICAO DAS PEDRAS,2,Menos_Crimes
SANTANA DO GARAMBEU,2,Menos_Crimes
GRUPIARA,2,Menos_Crimes
SERRA DA SAUDADE,2,Menos_Crimes
DOM VICOSO,2,Menos_Crimes
PASSABEM,3,Menos_Crimes
PAIVA,3,Menos_Crimes
SERRANOS,3,Menos_Crimes
WENCESLAU BRAZ,4,Menos_Crimes
PEDRO TEIXEIRA,4,Menos_Crimes
ALAGOA,4,Menos_Crimes
SERITINGA,4,Menos_Crimes
OLARIA,5,Menos_Crimes
PASSA VINTE,5,Menos_Crimes
DORESOPOLIS,5,Menos_Crimes
MARMELOPOLIS,5,Menos_Crimes
CASA GRANDE,5,Menos_Crimes
ESTRELA DO INDAIA,5,Menos_Crimes
DESTERRO DO MELO,5,Menos_Crimes
ARACITABA,5,Menos_Crimes
ANTONIO PRADO DE MINAS,6,Menos_Crimes
GLAUCILANDIA,6,Menos_Crimes
CAMPO AZUL,6,Menos_Crimes
SAO SEBASTIAO DO RIO VERDE,7,Menos_Crimes
CONCEICAO DA BARRA DE MINAS,7,Menos_Crimes
DOURADOQUARA,7,Menos_Crimes
SANTO ANTONIO DO RIO ABAIXO,7,Menos_Crimes
RIO DOCE,8,Menos_Crimes
PIEDADE DO RIO GRANDE,8,Menos_Crimes
