codigo_ibge,municipio,recursos_estado,recursos_municipio,gastos_diretos,beneficios
3106200,Belo Horizonte,"46.232.331.595,48","3.272.803.003,30","292.841,52","1.479.519.957,77"
3118601,Contagem,"46.232.331.595,48","499.164.856,99","0,00","389.293.062,39"
3170206,Uberlandia,"46.232.331.595,48","540.102.863,15","0,00","390.226.035,23"
3106705,Betim,"46.232.331.595,48","389.962.532,90","0,00","282.740.515,26"
3154606,Ribeirao das Neves,"46.232.331.595,48","296.404.150,62","0,00","240.363.571,00"
3170107,Uberaba,"46.232.331.595,48","336.712.723,68","6.171,77","192.268.211,99"
3136702,Juiz de Fora,"46.232.331.595,48","745.135.546,02","252.100,00","317.271.643,03"
3143302,Montes Claros,"46.232.331.595,48","589.323.308,19","0,00","328.807.645,54"
3167202,Sete Lagoas,"46.232.331.595,48","296.229.881,22","0,00","149.346.068,67"
3122306,Divinopolis,"46.232.331.595,48","335.850.202,49","0,00","107.720.566,28"
3127701,Governador Valadares,"46.232.331.595,48","397.400.950,64","0,00","224.487.892,52"
2513406,Santa Luzia,"16.541.052.476,64","37.618.169,10","0,00","27.048.088,52"
3145208,Nova Serrana,"46.232.331.595,48","161.838.465,84","0,00","42.591.781,91"
3131307,Ipatinga,"46.232.331.595,48","374.961.382,49","0,00","168.997.766,29"
3171204,Vespasiano,"46.232.331.595,48","131.118.315,55","0,00","91.766.166,37"
3129806,Ibirite,"46.232.331.595,48","179.038.947,46","0,00","101.656.435,40"
3156700,Sabara,"46.232.331.595,48","197.297.275,56","0,00","80.572.329,18"
3169901,Uba,"46.232.331.595,48","168.193.761,51","0,00","64.450.141,86"
3147006,Paracatu,"46.232.331.595,48","153.455.241,80","0,00","63.285.248,66"
3147907,Passos,"46.232.331.595,48","227.108.815,44","0,00","69.311.196,39"
3152501,Pouso Alegre,"46.232.331.595,48","253.394.137,92","0,00","74.940.058,15"
3148004,Patos de Minas,"46.232.331.595,48","223.727.260,71","0,00","72.970.607,46"
3131703,Itabira,"46.232.331.595,48","287.041.822,90","0,00","46.701.478,50"
3124104,Esmeraldas,"46.232.331.595,48","81.840.424,10","0,00","70.049.375,61"
3120904,Curvelo,"46.232.331.595,48","112.436.970,26","0,00","86.292.234,54"
2414902,Vicosa,"13.760.976.051,16","12.774.296,44","0,00","2.700.302,89"
3151800,Pocos de Caldas,"46.232.331.595,48","261.003.142,27","0,00","72.265.494,95"
3133808,Itauna,"46.232.331.595,48","128.819.729,53","0,00","33.250.111,89"
3144805,Nova Lima,"46.232.331.595,48","218.720.666,24","0,00","37.950.190,50"
3103504,Araguari,"46.232.331.595,48","316.113.101,97","0,00","74.284.069,98"
3113107,Caranaiba,"46.232.331.595,48","12.110.441,12","0,00","1.806.501,00"
3117207,Conceicao das Pedras,"46.232.331.595,48","11.361.238,72","0,00","2.490.670,84"
3158706,Santana do Garambeu,"46.232.331.595,48","11.901.562,26","0,00","2.196.090,30"
3127909,Grupiara,"46.232.331.595,48","15.955.525,45","0,00","508.092,98"
3166600,Serra da Saudade,"46.232.331.595,48","11.466.238,72","0,00","162.843,00"
3122801,Dom Vicoso,"46.232.331.595,48","11.769.622,72","0,00","1.802.243,60"
3147501,Passabem,"46.232.331.595,48","12.459.153,19","0,00","1.303.780,99"
3146602,Paiva,"46.232.331.595,48","11.581.000,17","0,00","1.249.677,66"
3167004,Serranos,"46.232.331.595,48","12.243.570,38","0,00","2.136.620,16"
4128500,Wenceslau Braz,"24.553.794.535,21","31.140.760,01","0,00","16.734.317,77"
3149408,Pedro Teixeira,"46.232.331.595,48","12.882.516,30","0,00","1.427.078,44"
3101300,Alagoa,"46.232.331.595,48","13.907.234,61","0,00","2.276.889,68"
3166402,Seritinga,"46.232.331.595,48","11.721.414,58","0,00","927.874,00"
3145406,Olaria,"46.232.331.595,48","17.187.358,52","0,00","1.386.203,15"
3147808,Passa Vinte,"46.232.331.595,48","14.948.630,78","0,00","1.329.033,00"
3123403,Doresopolis,"46.232.331.595,48","12.431.992,73","0,00","1.232.180,17"
3140407,Marmelopolis,"46.232.331.595,48","12.417.561,01","0,00","2.938.808,32"
3114907,Casa Grande,"46.232.331.595,48","11.817.130,63","0,00","913.790,00"
3124708,Estrela do Indaia,"46.232.331.595,48","12.416.685,28","0,00","1.305.286,14"
3121506,Desterro do Melo,"46.232.331.595,48","13.786.074,91","0,00","2.369.100,25"
3103306,Aracitaba,"46.232.331.595,48","11.819.054,37","0,00","1.737.752,02"
3103108,Antonio Prado de Minas,"46.232.331.595,48","12.090.190,24","0,00","1.052.863,60"
3127354,Glaucilandia,"46.232.331.595,48","13.728.574,24","0,00","2.379.467,53"
3111150,Campo Azul,"46.232.331.595,48","14.752.653,56","0,00","5.686.496,74"
3164902,Sao Sebastiao do Rio Verde,"46.232.331.595,48","12.634.231,36","0,00","1.016.133,00"
3115201,Conceicao da Barra de Minas,"46.232.331.595,48","13.921.208,92","0,00","2.866.773,00"
3123502,Douradoquara,"46.232.331.595,48","14.853.463,24","0,00","822.847,32"
3160504,Santo Antonio do Rio Abaixo,"46.232.331.595,48","11.408.063,92","0,00","1.478.035,80"
3155009,Rio Doce,"46.232.331.595,48","14.203.877,08","0,00","1.588.689,46"
3150307,Piedade do Rio Grande,"46.232.331.595,48","13.913.925,25","0,00","3.303.850,00"
